date,Interest_Rate,Inflation,GDP,Unemployment,Ind_Prod,sp500
1974-12-01,8.53,51.9,6030.464,7.2,41.9503,67.16937494277954
1975-01-01,7.13,52.3,5957.035,8.1,41.3689,72.56409107555042
1975-02-01,6.24,52.6,5957.035,8.1,40.4252,80.09684191252056
1975-03-01,5.54,52.8,5957.035,8.6,39.9804,83.83199920654297
1975-04-01,5.49,53.0,5999.61,8.8,40.0572,84.72318198464133
1975-05-01,5.22,53.1,5999.61,9.0,39.9402,90.09619031633649
1975-06-01,5.55,53.5,5999.61,8.8,40.1927,92.3971434093657
1975-07-01,6.1,54.0,6102.326,8.6,40.6115,92.48727312954989
1975-08-01,6.14,54.2,6102.326,8.4,41.0114,85.71380942208427
1975-09-01,6.24,54.6,6102.326,8.4,41.5422,84.67238071986607
1975-10-01,5.82,54.9,6184.53,8.4,41.7224,88.57434778628142
1975-11-01,5.22,55.3,6184.53,8.3,41.7797,90.06526344700863
1975-12-01,5.2,55.6,6184.53,8.2,42.3462,88.70045471191406
1976-01-01,4.87,55.8,6323.649,7.9,42.9082,96.8595235915411
1976-02-01,4.77,55.9,6323.649,7.7,43.3407,100.63947416606702
1976-03-01,4.84,56.0,6323.649,7.6,43.4281,101.08434793223505
1976-04-01,4.82,56.1,6370.025,7.7,43.6518,101.92952364966983
1976-05-01,5.29,56.4,6370.025,7.4,43.8315,101.16199913024903
1976-06-01,5.48,56.7,6370.025,7.6,43.8775,101.76681795987216
1976-07-01,5.31,57.0,6404.895,7.8,44.1248,104.2009528023856
1976-08-01,5.29,57.3,6404.895,7.8,44.4262,103.29181844537908
1976-09-01,5.25,57.6,6404.895,7.6,44.5711,105.45333317347935
1976-10-01,5.02,57.9,6451.177,7.7,44.56,101.88523755754743
1976-11-01,4.95,58.1,6451.177,7.8,45.2454,101.19349975585938
1976-12-01,4.65,58.4,6451.177,7.8,45.731,104.66090843894266
1977-01-01,4.61,58.7,6527.703,7.5,45.4156,103.81333305722191
1977-02-01,4.68,59.3,6527.703,7.6,46.1358,100.95578926487973
1977-03-01,4.69,59.6,6527.703,7.4,46.7158,100.56956481933594
1977-04-01,4.73,60.0,6654.466,7.2,47.1719,99.05000076293945
1977-05-01,5.35,60.2,6654.466,7.0,47.541,98.76047588530041
1977-06-01,5.39,60.5,6654.466,7.2,47.9063,99.28590947931463
1977-07-01,5.42,60.8,6774.457,6.9,47.9714,100.17842021741365
1977-08-01,5.9,61.1,6774.457,7.0,48.0157,97.75000033171281
1977-09-01,6.14,61.3,6774.457,6.8,48.2097,96.23238045828683
1977-10-01,6.47,61.6,6774.592,6.8,48.2839,93.73952302478608
1977-11-01,6.51,62.0,6774.592,6.8,48.3755,94.28333391462054
1977-12-01,6.56,62.3,6774.592,6.4,48.4573,93.82047671363468
1978-01-01,6.7,62.7,6796.26,6.4,47.7512,90.24952298118954
1978-02-01,6.78,63.0,6796.26,6.3,48.0098,88.97526349519428
1978-03-01,6.79,63.4,6796.26,6.3,48.9358,88.81954539905895
1978-04-01,6.89,63.9,7058.92,6.1,49.9074,92.7104995727539
1978-05-01,7.36,64.5,7058.92,6.0,50.1513,97.41227306019177
1978-06-01,7.6,65.0,7058.92,5.9,50.4751,97.66181807084517
1978-07-01,7.81,65.5,7129.915,6.2,50.4371,97.19249992370605
1978-08-01,8.04,65.9,7129.915,5.9,50.6393,103.92173999288808
1978-09-01,8.45,66.5,7129.915,6.0,50.7631,103.85699996948242
1978-10-01,8.96,67.1,7225.75,5.8,51.1523,100.58363515680486
1978-11-01,9.76,67.5,7225.75,5.9,51.5456,94.70952315557571
1978-12-01,10.03,67.9,7225.75,6.0,51.806,96.10749969482421
1979-01-01,10.07,68.5,7238.727,5.9,51.525,99.70500113747336
1979-02-01,10.06,69.2,7238.727,5.9,51.778,98.2294737163343
1979-03-01,10.09,69.9,7238.727,5.8,51.9382,100.11227278275923
1979-04-01,10.01,70.6,7246.454,5.8,51.3251,102.06600036621094
1979-05-01,10.24,71.4,7246.454,5.6,51.7782,99.727727023038
1979-06-01,10.29,72.2,7246.454,5.7,51.7865,101.72761862618583
1979-07-01,10.47,73.0,7300.281,5.7,51.7029,102.71142832438152
1979-08-01,10.94,73.7,7300.281,6.0,51.3658,107.35608639924422
1979-09-01,11.43,74.4,7300.281,5.9,51.3623,108.59684231406764
1979-10-01,13.77,75.2,7318.535,6.0,51.7175,104.47304269541864
1979-11-01,13.18,76.0,7318.535,5.9,51.6341,103.66381000337147
1979-12-01,13.78,76.9,7318.535,6.0,51.6694,107.7759994506836
1980-01-01,13.82,78.0,7341.557,6.3,51.944,110.86818140203303
1980-02-01,14.13,79.0,7341.557,6.3,51.9633,115.33900108337403
1980-03-01,17.19,80.1,7341.557,6.3,51.7454,104.68619065057663
1980-04-01,17.61,80.9,7190.289,6.9,50.7197,102.96666753859748
1980-05-01,10.98,81.7,7190.289,7.5,49.4766,107.69428543817429
1980-06-01,9.47,82.5,7190.289,7.6,48.8383,114.54666646321614
1980-07-01,9.03,82.6,7181.743,7.8,48.4907,119.83272760564631
1980-08-01,9.61,83.2,7181.743,7.7,48.6456,123.49666631789435
1980-09-01,10.87,83.9,7181.743,7.5,49.4578,126.51190294538226
1980-10-01,12.81,84.7,7315.677,7.5,50.0861,130.22173840066662
1980-11-01,15.85,85.6,7315.677,7.5,50.9209,135.6544426812066
1980-12-01,18.9,86.4,7315.677,7.2,51.257,133.48318204012784
1981-01-01,19.08,87.2,7459.022,7.5,50.9328,132.96571277436755
1981-02-01,15.93,88.0,7459.022,7.4,50.7237,128.3952656796104
1981-03-01,14.7,88.6,7459.022,7.4,50.9806,133.18499963933772
1981-04-01,15.72,89.1,7403.745,7.2,50.7661,134.42761811755952
1981-05-01,18.52,89.7,7403.745,7.5,51.0552,131.72700042724608
1981-06-01,19.1,90.5,7403.745,7.5,51.3214,132.2777293812145
1981-07-01,19.04,91.5,7492.405,7.2,51.6555,129.1277268149636
1981-08-01,17.82,92.2,7492.405,7.4,51.5903,129.62952314104353
1981-09-01,15.87,93.1,7492.405,7.6,51.3429,118.26952398390998
1981-10-01,15.08,93.4,7410.768,7.9,50.9463,119.79772706465288
1981-11-01,13.31,93.8,7410.768,8.3,50.3546,122.9194995880127
1981-12-01,12.37,94.1,7410.768,8.5,49.8086,123.79409096457742
1982-01-01,13.22,94.4,7295.631,8.6,48.7877,117.27650032043456
1982-02-01,14.78,94.7,7295.631,8.9,49.7839,114.49526335063733
1982-03-01,14.68,94.7,7295.631,9.0,49.4477,110.84217370074728
1982-04-01,14.94,95.0,7328.912,9.3,48.9913,116.30714343843006
1982-05-01,14.45,95.9,7328.912,9.4,48.6669,116.35299949645996
1982-06-01,14.15,97.0,7328.912,9.6,48.5415,109.69772720336914
1982-07-01,12.59,97.5,7300.896,9.8,48.3775,109.37666684105282
1982-08-01,10.12,97.7,7300.896,9.8,47.9382,109.65136406638406
1982-09-01,10.31,97.7,7300.896,10.1,47.8139,122.43333289736793
1982-10-01,9.71,98.1,7303.817,10.4,47.3575,132.66047741117933
1982-11-01,9.2,98.0,7303.817,10.8,47.2078,138.10095287504652
1982-12-01,8.95,97.7,7303.817,10.8,46.8713,139.3659113103693
1983-01-01,8.68,97.9,7400.066,10.4,47.7398,144.26714215959822
1983-02-01,8.51,98.0,7400.066,10.4,47.4484,146.79684046695107
1983-03-01,8.77,98.1,7400.066,10.3,47.8426,151.87652123492697
1983-04-01,8.8,98.8,7568.456,10.2,48.4483,157.7120002746582
1983-05-01,8.63,99.2,7568.456,10.1,48.747,164.0971432640439
1983-06-01,8.98,99.4,7568.456,10.1,49.0434,166.36909138072622
1983-07-01,9.37,99.8,7719.746,9.4,49.7739,166.95099868774415
1983-08-01,9.56,100.1,7719.746,9.5,50.364,162.4178247866423
1983-09-01,9.45,100.4,7719.746,9.2,51.0937,167.1604766845703
1983-10-01,9.48,100.8,7880.794,8.8,51.4902,167.65428452264695
1983-11-01,9.34,101.1,7880.794,8.5,51.721,165.23095194498697
1983-12-01,9.47,101.4,7880.794,8.3,51.9769,164.37142799014137
1984-01-01,9.56,102.1,8034.847,8.0,53.0088,166.39285641624815
1984-02-01,9.59,102.6,8034.847,7.8,53.2486,157.2505012512207
1984-03-01,9.91,102.9,8034.847,7.8,53.5028,157.4386381669478
1984-04-01,10.29,103.3,8173.67,7.7,53.8233,157.60149917602538
1984-05-01,10.32,103.5,8173.67,7.4,54.1104,156.55090886896306
1984-06-01,11.06,103.7,8173.67,7.2,54.3075,153.12476094563803
1984-07-01,11.23,104.1,8252.465,7.5,54.4587,151.07809593563988
1984-08-01,11.64,104.4,8252.465,7.5,54.5239,164.4208692467731
1984-09-01,11.3,104.7,8252.465,7.3,54.3696,166.1126299406353
1984-10-01,9.99,105.1,8320.199,7.4,54.3474,164.81869440493375
1984-11-01,9.43,105.3,8320.199,7.2,54.529,166.27190508161272
1984-12-01,8.38,105.5,8320.199,7.3,54.5556,164.48000106811523
1985-01-01,8.35,105.7,8400.82,7.3,54.527,171.6127270785245
1985-02-01,8.5,106.3,8400.82,7.2,54.6871,180.88473751670435
1985-03-01,8.58,106.8,8400.82,7.2,54.7673,179.4199981689453
1985-04-01,8.27,107.0,8474.787,7.3,54.6467,180.61857023693267
1985-05-01,7.97,107.2,8474.787,7.2,54.7396,184.89908946644175
1985-06-01,7.53,107.5,8474.787,7.4,54.711,188.8859992980957
1985-07-01,7.88,107.7,8604.22,7.4,54.4365,192.54454456676137
1985-08-01,7.9,107.9,8604.22,7.1,54.6121,188.3063638860529
1985-09-01,7.92,108.1,8604.22,7.1,54.8147,184.20579046952096
1985-10-01,7.99,108.5,8668.188,7.1,54.6228,186.18043451723844
1985-11-01,8.05,109.0,8668.188,7.0,54.8123,197.44550018310548
1985-12-01,8.27,109.5,8668.188,7.0,55.3553,207.25761922200522
1986-01-01,8.14,109.9,8749.127,6.7,55.6453,208.19408971613103
1986-02-01,7.86,109.7,8749.127,7.2,55.2634,219.36526168020148
1986-03-01,7.48,109.1,8749.127,7.2,54.8728,232.3270004272461
1986-04-01,6.99,108.7,8788.524,7.1,54.935,237.96772835471413
1986-05-01,6.85,109.0,8788.524,7.2,55.0399,238.45904758998327
1986-06-01,6.92,109.4,8788.524,7.2,54.826,245.29571460542223
1986-07-01,6.56,109.5,8872.601,7.0,55.167,240.17999891801313
1986-08-01,6.17,109.6,8872.601,6.9,55.0726,245.0009511311849
1986-09-01,5.89,110.0,8872.601,7.0,55.2237,238.269047328404
1986-10-01,5.85,110.2,8920.193,7.0,55.4589,237.35608706266984
1986-11-01,6.04,110.4,8920.193,6.9,55.6763,245.0926328960218
1986-12-01,6.91,110.8,8920.193,6.6,56.2078,248.60545418479225
1987-01-01,6.43,111.4,8986.367,6.6,55.9911,264.51095145089283
1987-02-01,6.1,111.8,8986.367,6.6,56.7373,280.9342153448808
1987-03-01,6.13,112.2,8986.367,6.6,56.8136,292.47136480158025
1987-04-01,6.37,112.7,9083.256,6.3,57.185,289.3219052269345
1987-05-01,6.85,113.0,9083.256,6.3,57.5424,289.1154983520508
1987-06-01,6.73,113.5,9083.256,6.2,57.8502,301.3840900767933
1987-07-01,6.58,113.8,9162.024,6.1,58.2421,310.0872719504616
1987-08-01,6.73,114.3,9162.024,6.0,58.6784,329.35809326171875
1987-09-01,7.22,114.7,9162.024,5.9,58.9088,318.6609511602493
1987-10-01,7.29,115.0,9319.332,6.0,59.7008,280.1640916304155
1987-11-01,6.69,115.4,9319.332,5.8,59.9956,245.0085006713867
1987-12-01,6.77,115.6,9319.332,5.7,60.3246,240.9559097290039
1988-01-01,6.83,116.0,9367.502,5.7,60.309,250.47650299072265
1988-02-01,6.58,116.2,9367.502,5.7,60.6122,258.12799911499025
1988-03-01,6.58,116.5,9367.502,5.7,60.7452,265.7373922596807
1988-04-01,6.87,117.2,9490.594,5.4,61.108,262.6154983520508
1988-05-01,7.09,117.5,9490.594,5.6,60.9843,256.12381126767116
1988-06-01,7.51,118.0,9490.594,5.4,61.1615,270.6827281605114
1988-07-01,7.75,118.5,9546.206,5.4,61.171,269.0494979858398
1988-08-01,8.01,119.0,9546.206,5.6,61.4771,263.7265187139096
1988-09-01,8.19,119.5,9546.206,5.4,61.2785,267.9700012207031
1988-10-01,8.3,119.9,9673.405,5.4,61.5488,277.39571562267486
1988-11-01,8.35,120.3,9673.405,5.3,61.7049,271.02428763253346
1988-12-01,8.76,120.7,9673.405,5.3,61.9851,276.51475888206846
1989-01-01,9.12,121.2,9771.725,5.4,62.1677,285.413812546503
1989-02-01,9.36,121.6,9771.725,5.2,61.8916,294.0110521818462
1989-03-01,9.85,122.2,9771.725,5.0,62.0508,292.7131819291548
1989-04-01,9.84,123.1,9846.293,5.2,62.0289,302.2509963989258
1989-05-01,9.81,123.7,9846.293,5.2,61.6871,313.92999961159444
1989-06-01,9.53,124.1,9846.293,5.3,61.6857,323.7277277166193
1989-07-01,9.24,124.5,9919.228,5.2,61.0896,331.92650146484374
1989-08-01,8.99,124.5,9919.228,5.2,61.6847,346.60782656462294
1989-09-01,9.02,124.8,9919.228,5.3,61.4794,347.3295013427734
1989-10-01,8.84,125.4,9938.767,5.3,61.4014,347.3972722833807
1989-11-01,8.55,125.9,9938.767,5.4,61.6081,340.2190450032552
1989-12-01,8.45,126.3,9938.767,5.4,61.9588,348.57200012207034
1990-01-01,8.23,127.5,10047.386,5.4,61.6352,339.9718184037642
1990-02-01,8.24,128.0,10047.386,5.3,62.1951,330.45263511256167
1990-03-01,8.28,128.6,10047.386,5.2,62.4916,338.46500049937856
1990-04-01,8.26,128.9,10083.855,5.4,62.3511,338.1779983520508
1990-05-01,8.18,129.1,10083.855,5.4,62.5353,350.2500013871626
1990-06-01,8.29,129.9,10083.855,5.2,62.7479,360.3866664341518
1990-07-01,8.15,130.5,10090.569,5.5,62.6435,360.0309520903088
1990-08-01,8.13,131.6,10090.569,5.7,62.8704,330.7465196692425
1990-09-01,8.2,132.5,10090.569,5.9,62.8839,315.40684268349094
1990-10-01,8.11,133.4,9998.704,5.9,62.4973,307.1247850501019
1990-11-01,7.81,133.7,9998.704,6.2,61.7175,315.2909531366257
1990-12-01,7.31,134.2,9998.704,6.3,61.2885,328.74950256347654
1991-01-01,6.91,134.7,9951.916,6.4,61.0842,325.4854555996981
1991-02-01,6.25,134.8,9951.916,6.6,60.6387,362.2631578947368
1991-03-01,6.12,134.8,9951.916,6.8,60.2973,372.2789993286133
1991-04-01,5.91,135.1,10029.51,6.7,60.4524,379.6786360307173
1991-05-01,5.78,135.6,10029.51,6.9,61.0587,377.9922721169212
1991-06-01,5.9,136.0,10029.51,6.9,61.5514,378.2929992675781
1991-07-01,5.82,136.2,10080.195,6.8,61.7201,380.2268177379261
1991-08-01,5.66,136.6,10080.195,6.9,61.7289,389.4031788219105
1991-09-01,5.45,137.0,10080.195,6.9,62.2369,387.19850006103513
1991-10-01,5.21,137.2,10115.329,7.0,62.1718,386.88347990616506
1991-11-01,4.81,137.8,10115.329,7.0,62.0894,385.919499206543
1991-12-01,4.43,138.2,10115.329,7.3,61.806,388.5104762486049
1992-01-01,4.03,138.3,10236.435,7.3,61.4823,416.0749969482422
1992-02-01,4.06,138.6,10236.435,7.4,61.9192,412.55579095137745
1992-03-01,3.98,139.1,10236.435,7.4,62.4403,407.3645449551669
1992-04-01,3.73,139.4,10347.429,7.4,62.9199,407.40714372907365
1992-05-01,3.82,139.7,10347.429,7.6,63.1268,414.814501953125
1992-06-01,3.76,140.1,10347.429,7.8,63.1624,408.2745472301136
1992-07-01,3.25,140.5,10449.673,7.7,63.7348,415.0513638583097
1992-08-01,3.3,140.8,10449.673,7.6,63.3802,417.9271429152716
1992-09-01,3.22,141.1,10449.673,7.6,63.5834,418.4771423339844
1992-10-01,3.1,141.7,10558.648,7.3,64.0178,412.5027285489169
1992-11-01,3.09,142.1,10558.648,7.4,64.2628,422.8439971923828
1992-12-01,2.92,142.3,10558.648,7.4,64.3599,435.6395457874645
1993-01-01,3.02,142.8,10576.275,7.3,64.6135,435.22899932861327
1993-02-01,3.03,143.1,10576.275,7.1,64.9262,441.70368074115953
1993-03-01,3.07,143.3,10576.275,7.0,64.8627,450.15521638289744
1993-04-01,2.96,143.8,10637.847,7.1,65.0423,443.0776207333519
1993-05-01,3.0,144.2,10637.847,7.1,64.8006,445.24649810791016
1993-06-01,3.04,144.3,10637.847,7.0,64.9476,448.0595439564098
1993-07-01,3.06,144.5,10688.606,6.9,65.1142,447.28618803478423
1993-08-01,3.03,144.8,10688.606,6.8,65.0421,454.1277285489169
1993-09-01,3.09,145.0,10688.606,6.7,65.3749,459.23523385184154
1993-10-01,2.99,145.6,10833.987,6.8,65.863,463.8999968029204
1993-11-01,3.02,146.0,10833.987,6.6,66.1696,462.8904753185454
1993-12-01,2.96,146.3,10833.987,6.5,66.5531,465.94545676491475
1994-01-01,3.05,146.3,10939.116,6.6,66.7591,472.9928574335007
1994-02-01,3.25,146.7,10939.116,6.6,66.8019,471.5799994217722
1994-03-01,3.34,147.1,10939.116,6.5,67.4704,463.8078268299932
1994-04-01,3.56,147.2,11087.361,6.4,67.8707,447.2321070620888
1994-05-01,4.01,147.5,11087.361,6.1,68.187,450.89857264927457
1994-06-01,4.25,147.9,11087.361,6.1,68.645,454.825908314098
1994-07-01,4.26,148.4,11152.176,6.1,68.7317,451.40099945068357
1994-08-01,4.47,149.0,11152.176,6.0,69.1882,464.2430459727412
1994-09-01,4.73,149.3,11152.176,5.9,69.3935,466.9580920991443
1994-10-01,4.76,149.4,11279.932,5.8,69.9576,463.81380934942337
1994-11-01,5.29,149.8,11279.932,5.6,70.4288,461.0152398972284
1994-12-01,5.45,150.1,11279.932,5.5,71.1273,455.1866643996466
1995-01-01,5.53,150.5,11319.951,5.6,71.2635,465.25
1995-02-01,5.92,150.9,11319.951,5.4,71.1758,481.92473722759047
1995-03-01,5.98,151.2,11319.951,5.4,71.2796,493.1530469811481
1995-04-01,6.05,151.8,11353.721,5.8,71.1538,507.9057906301398
1995-05-01,6.01,152.1,11353.721,5.6,71.4997,523.8136402476918
1995-06-01,6.0,152.4,11353.721,5.6,71.7327,539.3540843616832
1995-07-01,5.85,152.6,11450.31,5.7,71.4334,557.3664978027343
1995-08-01,5.74,152.9,11450.31,5.7,72.3723,559.1100012737771
1995-09-01,5.8,153.1,11450.31,5.6,72.6543,578.765493774414
1995-10-01,5.76,153.5,11528.067,5.5,72.5336,582.9181823730469
1995-11-01,5.8,153.7,11528.067,5.6,72.717,595.5323806036087
1995-12-01,5.6,153.9,11528.067,5.6,72.9638,614.5709991455078
1996-01-01,5.56,154.7,11614.418,5.6,72.5712,614.4200051047585
1996-02-01,5.22,155.0,11614.418,5.5,73.6207,649.5420043945312
1996-03-01,5.31,155.5,11614.418,5.5,73.5141,647.0747593470982
1996-04-01,5.22,156.1,11808.14,5.6,74.2491,647.1728544689361
1996-05-01,5.24,156.4,11808.14,5.6,74.8142,661.2304548783736
1996-06-01,5.27,156.7,11808.14,5.3,75.3726,668.4989929199219
1996-07-01,5.4,157.0,11914.063,5.5,75.3738,644.0704539905895
1996-08-01,5.22,157.2,11914.063,5.1,75.7557,662.6822787198154
1996-09-01,5.3,157.7,11914.063,5.2,76.2302,674.885498046875
1996-10-01,5.24,158.2,12037.775,5.2,76.2157,701.4556539784307
1996-11-01,5.31,158.7,12037.775,5.4,76.8973,735.6690063476562
1996-12-01,5.29,159.1,12037.775,5.4,77.3772,743.249040876116
1997-01-01,5.25,159.4,12115.472,5.3,77.5135,766.216816295277
1997-02-01,5.19,159.7,12115.472,5.2,78.4255,798.3842163085938
1997-03-01,5.39,159.8,12115.472,5.2,78.9197,792.1555023193359
1997-04-01,5.51,159.9,12317.221,5.1,78.9848,763.9281865900213
1997-05-01,5.5,159.9,12317.221,4.9,79.4296,833.0914306640625
1997-06-01,5.56,160.2,12317.221,5.0,79.7971,876.2861909412202
1997-07-01,5.52,160.4,12471.01,4.9,80.4666,925.2945445667614
1997-08-01,5.54,160.8,12471.01,4.8,81.2825,927.7357119605655
1997-09-01,5.54,161.2,12471.01,4.9,82.0327,937.0242861793155
1997-10-01,5.5,161.5,12577.495,4.7,82.7656,951.1595618206521
1997-11-01,5.52,161.7,12577.495,4.6,83.427,938.9236899928043
1997-12-01,5.5,161.8,12577.495,4.7,83.784,962.3654563210227
1998-01-01,5.56,162.0,12703.742,4.6,84.1564,963.3590026855469
1998-02-01,5.51,162.0,12703.742,4.6,84.3066,1023.7421136153372
1998-03-01,5.49,162.0,12703.742,4.7,84.342,1076.8277310458097
1998-04-01,5.45,162.2,12821.339,4.3,84.6339,1112.1961960565477
1998-05-01,5.49,162.6,12821.339,4.4,85.1867,1108.4169982910157
1998-06-01,5.56,162.8,12821.339,4.5,84.6809,1108.389531915838
1998-07-01,5.54,163.2,12982.752,4.5,84.3445,1156.5772705078125
1998-08-01,5.55,163.4,12982.752,4.5,86.0816,1074.6204717726935
1998-09-01,5.51,163.5,12982.752,4.6,86.0023,1020.6400001162574
1998-10-01,5.07,163.9,13191.67,4.5,86.591,1032.470009543679
1998-11-01,4.83,164.1,13191.67,4.4,86.5115,1144.4334838867187
1998-12-01,4.68,164.4,13191.67,4.4,86.8615,1190.0509033203125
1999-01-01,4.63,164.7,13315.597,4.3,87.2205,1248.7747353001644
1999-02-01,4.76,164.7,13315.597,4.4,87.726,1246.5821147717927
1999-03-01,4.81,164.8,13315.597,4.2,87.9125,1281.663913892663
1999-04-01,4.74,165.9,13426.748,4.3,88.1082,1334.7566615513392
1999-05-01,4.74,166.0,13426.748,4.2,88.6483,1332.0740112304688
1999-06-01,4.76,166.0,13426.748,4.3,88.5903,1322.552734375
1999-07-01,4.99,166.7,13604.771,4.3,89.1098,1380.990001860119
1999-08-01,5.07,167.1,13604.771,4.2,89.5007,1327.488653009588
1999-09-01,5.22,167.8,13604.771,4.2,89.1304,1318.1719040643602
1999-10-01,5.2,168.1,13827.98,4.1,90.2709,1300.010009765625
1999-11-01,5.42,168.4,13827.98,4.1,90.7528,1391.0028483072917
1999-12-01,5.3,168.8,13827.98,4.0,91.4784,1428.6840931285512
2000-01-01,5.45,169.3,13878.147,4.0,91.4092,1425.5855041503905
2000-02-01,5.73,170.0,13878.147,4.1,91.7245,1388.8744995117188
2000-03-01,5.85,171.0,13878.147,4.0,92.083,1442.212598717731
2000-04-01,6.02,170.9,14130.908,3.8,92.6659,1461.3552567331415
